title,publisher,setName,subSet,setCount,releaseDate,setYear,tcdbUrl,priceguideUrl,setType
2015 Topps Definitive Collection - Veteran Nameplate,,,,42,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127157/2015-Topps-Definitive-Collection---Veteran-Nameplate,,Football
2015 Panini Samsung NBA Summer League,,,,6,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127158/2015-Panini-Samsung-NBA-Summer-League,,Basketball
2015 Topps Strata - Strata Autographs,,,,41,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127159/2015-Topps-Strata---Strata-Autographs,,Football
2001 Donruss Elite - Primary Colors Blue,,,,40,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12716/2001-Donruss-Elite---Primary-Colors-Blue,,Baseball
2015 Topps Strata - Clear Autographed Relic Rookies,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127160/2015-Topps-Strata---Clear-Autographed-Relic-Rookies,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Black,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127161/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Black,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Blue,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127162/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Blue,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Gold,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127163/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Gold,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Green,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127164/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Green,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Red Gloves,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127165/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Red-Gloves,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Red Laundry Tag,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127166/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Red-Laundry-Tag,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Red Pigskin,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127167/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Red-Pigskin,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Red Swoosh,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127168/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Red-Swoosh,,Football
2015 Topps Strata - Clear Autographed Relic Rookies Red Team Patch,,,,39,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127169/2015-Topps-Strata---Clear-Autographed-Relic-Rookies-Red-Team-Patch,,Football
2001 Donruss Elite - Primary Colors Blue Die Cut,,,,40,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12717/2001-Donruss-Elite---Primary-Colors-Blue-Die-Cut,,Baseball
2015 Topps Strata - Strata Signature Patch,,,,45,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127170/2015-Topps-Strata---Strata-Signature-Patch,,Football
2015 Topps Strata - Strata Signature Patch Gold,,,,45,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127171/2015-Topps-Strata---Strata-Signature-Patch-Gold,,Football
2015 Topps Strata - Strata Signature Patch Red Rivet,,,,45,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127172/2015-Topps-Strata---Strata-Signature-Patch-Red-Rivet,,Football
2015 Topps Strata - Strata Signatures,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127173/2015-Topps-Strata---Strata-Signatures,,Football
2015 Topps Strata - Strata Signatures Gold,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127174/2015-Topps-Strata---Strata-Signatures-Gold,,Football
2015 Topps Strata - Strata Signatures Red,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127175/2015-Topps-Strata---Strata-Signatures-Red,,Football
2015 Topps Field Access - Printing Plates Cyan,,,,200,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127176/2015-Topps-Field-Access---Printing-Plates-Cyan,,Football
2015 Topps Field Access - Printing Plates Magenta,,,,200,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127177/2015-Topps-Field-Access---Printing-Plates-Magenta,,Football
2015 Topps Field Access - Printing Plates Yellow,,,,200,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127178/2015-Topps-Field-Access---Printing-Plates-Yellow,,Football
